store_id,region,store_format,date,sales_usd,inventory_turnover,foot_traffic
STORE_043,West,Hypermarket,2024-05-01,26899.7,2.2,1271
STORE_044,West,Hypermarket,2024-06-22,38769.94,4.9,973
STORE_045,South,Hypermarket,2024-10-21,40604.96,2.1,947
STORE_046,East,Hypermarket,2024-07-09,43727.45,4.1,874
STORE_047,East,Online,2024-03-18,27126.95,5.0,0
STORE_048,South,Hypermarket,2024-04-09,28997.49,5.9,1185
STORE_049,West,Express,2024-11-13,26876.71,2.5,536
STORE_050,West,Express,2024-09-30,41262.04,4.7,1067
STORE_051,South,Express,2024-08-10,24553.11,5.7,1664
STORE_052,North,Express,2024-09-24,44978.35,2.5,1487
STORE_053,West,Hypermarket,2024-03-20,45226.45,2.5,1865
STORE_054,South,Online,2024-02-21,35851.4,2.9,0
STORE_055,West,Express,2024-06-22,36274.07,4.9,987
STORE_056,South,Online,2024-04-17,46139.87,3.5,0
STORE_057,South,Hypermarket,2024-12-14,16306.53,4.6,651
STORE_058,West,Online,2024-02-18,45828.24,3.9,0
STORE_059,North,Online,2024-11-26,18994.94,2.0,0
STORE_060,West,Online,2024-04-13,14713.06,4.1,0
STORE_061,South,Online,2024-10-30,10828.77,3.3,0
STORE_062,South,Online,2024-05-06,47611.99,5.6,0
STORE_063,North,Express,2024-09-09,16213.92,3.1,949
STORE_064,East,Online,2024-08-16,19823.63,2.3,0
STORE_065,West,Hypermarket,2024-11-16,27363.86,4.7,664
STORE_066,West,Express,2024-05-26,36942.27,2.7,523
STORE_067,West,Express,2024-02-08,30751.24,2.9,1558
STORE_068,East,Express,2024-01-26,16853.97,3.3,1465
STORE_069,South,Online,2024-07-07,25200.84,3.1,0
STORE_070,West,Hypermarket,2024-12-14,42763.47,5.5,1637
STORE_071,West,Hypermarket,2024-10-12,36180.55,2.0,516
STORE_072,South,Online,2024-09-03,13872.7,5.4,0
STORE_073,East,Online,2024-07-21,19880.13,5.3,0
STORE_074,South,Online,2024-04-26,14614.43,4.1,0
STORE_075,West,Online,2024-01-15,40362.28,3.1,0
STORE_076,East,Online,2024-03-10,36649.16,2.9,0
STORE_077,East,Express,2024-02-10,33141.43,5.9,1452
STORE_078,East,Express,2024-06-16,14645.19,4.4,1674
STORE_079,West,Online,2024-07-09,39178.58,5.1,0
STORE_080,West,Online,2024-12-06,36232.94,4.1,0
STORE_081,West,Online,2024-09-03,42347.92,4.2,0
STORE_082,South,Online,2024-01-31,24668.86,4.8,0
STORE_083,South,Express,2024-08-19,13334.52,5.7,759
STORE_084,West,Express,2024-11-20,27879.86,2.5,573
STORE_085,North,Online,2024-05-03,36745.39,4.5,0
STORE_086,East,Express,2024-08-07,14295.8,5.8,1689
STORE_087,East,Hypermarket,2024-01-19,44215.78,2.5,729
STORE_088,East,Hypermarket,2024-08-26,47720.57,2.8,715
STORE_089,West,Online,2024-07-01,14575.41,2.1,0
STORE_090,North,Hypermarket,2024-07-04,19880.38,2.4,1240
STORE_091,West,Hypermarket,2024-09-21,11663.87,4.7,1545
STORE_092,North,Hypermarket,2024-01-10,32780.19,4.2,1646
STORE_093,South,Online,2024-03-25,31837.32,3.0,0
STORE_094,North,Online,2024-10-11,10439.51,3.3,0
STORE_095,East,Express,2024-07-16,22740.53,5.9,842
STORE_096,West,Hypermarket,2024-09-28,16405.96,2.9,1722
STORE_097,East,Hypermarket,2024-07-23,16668.78,5.1,798
STORE_098,South,Online,2024-11-26,27497.61,3.6,0
STORE_099,West,Hypermarket,2024-05-01,11748.0,2.8,1312
STORE_100,East,Express,2024-10-26,16650.9,5.9,1021
STORE_101,North,Online,2024-11-10,35574.44,5.4,0
STORE_102,South,Hypermarket,2024-02-04,27987.37,3.4,829
STORE_103,East,Express,2024-07-07,19206.89,4.8,1719
STORE_104,East,Online,2024-06-21,34163.73,2.5,0
STORE_105,East,Hypermarket,2024-11-16,37833.09,5.8,1972
STORE_106,West,Express,2024-02-22,42461.85,3.0,1136
STORE_107,South,Hypermarket,2024-07-06,17843.26,3.5,680
STORE_108,North,Online,2024-03-14,19579.48,5.4,0
STORE_109,North,Hypermarket,2024-07-26,24373.5,3.2,790
STORE_110,North,Online,2024-04-30,47601.9,2.8,0
STORE_111,East,Hypermarket,2024-03-09,26944.28,4.8,1256
STORE_112,North,Hypermarket,2024-01-16,14507.57,4.7,708
STORE_113,South,Express,2024-06-05,27119.83,3.1,1643
STORE_114,South,Express,2024-04-23,36912.53,6.0,1033
STORE_115,West,Hypermarket,2024-04-20,46939.5,5.8,1665
STORE_116,North,Online,2024-10-12,30188.78,4.9,0
STORE_117,North,Hypermarket,2024-07-20,15700.94,3.1,1220
STORE_118,South,Express,2024-01-03,13896.21,2.6,1996
STORE_119,North,Hypermarket,2024-01-17,21418.29,4.5,1806
STORE_120,East,Online,2024-02-19,41796.66,4.8,0
STORE_121,North,Hypermarket,2024-03-19,44367.97,2.4,1040
STORE_122,North,Hypermarket,2024-12-28,41571.62,5.1,1732
STORE_123,South,Hypermarket,2024-05-25,40904.51,5.2,836
STORE_124,South,Express,2024-02-01,10432.59,5.4,1014
STORE_125,West,Online,2024-10-11,17791.69,4.7,0
STORE_126,North,Online,2024-01-11,38732.56,3.7,0
STORE_127,West,Online,2024-04-21,44916.91,2.1,0
STORE_128,East,Express,2024-04-07,17673.13,4.6,1658
STORE_129,West,Hypermarket,2024-01-05,13477.95,5.9,998
STORE_130,West,Express,2024-12-15,22404.12,5.3,581
STORE_131,West,Online,2024-07-13,13772.94,4.4,0
STORE_132,North,Hypermarket,2024-08-01,29211.09,3.6,662
STORE_133,South,Express,2024-11-19,21641.73,4.5,1430
STORE_134,East,Hypermarket,2024-08-07,11406.96,2.4,1885
STORE_135,East,Online,2024-12-30,48070.49,3.1,0
STORE_136,North,Hypermarket,2024-01-17,48813.55,5.7,1551
STORE_137,East,Express,2024-09-15,10281.55,5.7,1321
STORE_138,South,Express,2024-01-13,26243.56,5.0,1498
STORE_139,East,Express,2024-06-17,34546.76,4.7,1618
STORE_140,East,Online,2024-02-26,46566.66,3.6,0
STORE_141,South,Express,2024-05-23,21646.22,5.6,964
STORE_142,South,Online,2024-08-03,37370.97,2.3,0
STORE_143,East,Express,2024-10-09,43800.42,5.9,1138
STORE_144,South,Hypermarket,2024-12-14,24633.15,2.6,1921
STORE_145,South,Hypermarket,2024-05-17,41050.37,4.3,730
STORE_146,South,Hypermarket,2024-05-19,42627.94,4.9,747
STORE_147,East,Express,2024-05-02,28019.38,4.6,866
STORE_148,North,Online,2024-04-11,10390.75,5.5,0
STORE_149,South,Hypermarket,2024-08-16,49400.99,2.7,1549
STORE_150,South,Express,2024-05-27,19582.17,5.9,873
STORE_151,North,Online,2024-02-16,18307.47,3.8,0
STORE_152,South,Hypermarket,2024-09-04,14826.52,3.8,1067
STORE_153,West,Express,2024-10-23,12045.65,5.0,1656
STORE_154,East,Online,2024-11-04,24589.51,5.3,0
STORE_155,West,Hypermarket,2024-03-12,40718.6,4.1,1172
STORE_156,East,Online,2024-12-16,36803.11,5.4,0
STORE_157,West,Express,2024-06-09,38940.24,2.0,831
STORE_158,South,Hypermarket,2024-09-21,38800.67,5.3,1341
STORE_159,North,Online,2024-01-05,35500.68,5.2,0
STORE_160,North,Online,2024-04-01,24253.71,3.3,0
STORE_161,West,Express,2024-04-01,36626.29,5.5,1415
STORE_162,West,Online,2024-09-02,26097.84,2.1,0
STORE_163,South,Hypermarket,2024-11-05,35796.84,4.3,1969
STORE_164,South,Hypermarket,2024-09-10,20154.7,5.3,1525
STORE_165,East,Hypermarket,2024-08-07,38102.68,4.4,1210
STORE_166,East,Hypermarket,2024-03-15,48221.28,3.5,620
STORE_167,North,Express,2024-09-03,14622.4,4.1,1617
STORE_168,South,Online,2024-11-02,26897.34,5.8,0
STORE_169,East,Online,2024-10-05,13282.79,3.4,0
STORE_170,West,Online,2024-02-21,23283.25,3.8,0
STORE_171,North,Hypermarket,2024-10-12,40631.41,5.6,1338
STORE_172,North,Hypermarket,2024-04-09,20589.64,3.3,1012
STORE_173,North,Express,2024-06-28,17513.52,2.2,1563
STORE_174,South,Online,2024-08-07,12265.05,5.3,0
STORE_175,South,Online,2024-06-22,12015.16,3.0,0
STORE_176,East,Express,2024-06-25,46050.48,4.1,1097
STORE_177,East,Express,2024-05-26,37205.9,2.2,1712
STORE_178,North,Online,2024-08-31,38436.65,2.3,0
STORE_179,North,Online,2024-07-10,42912.09,3.0,0
STORE_180,North,Express,2024-06-28,13903.64,3.8,768
STORE_181,East,Online,2024-03-16,18190.35,3.3,0
STORE_182,North,Online,2024-08-27,17752.51,3.5,0
STORE_183,West,Hypermarket,2024-02-26,10149.76,5.2,1359
STORE_184,East,Online,2024-11-26,40045.49,2.1,0
STORE_185,North,Online,2024-02-26,24959.87,4.4,0
STORE_186,South,Online,2024-06-20,17143.77,3.4,0
STORE_187,East,Online,2024-01-07,30876.27,3.1,0
STORE_188,South,Express,2024-03-12,27260.1,3.7,1424
STORE_189,East,Hypermarket,2024-10-14,49538.35,5.8,1111
STORE_190,South,Express,2024-05-17,23065.87,3.8,1779
STORE_191,West,Hypermarket,2024-10-17,35990.36,4.1,1012
STORE_192,East,Hypermarket,2024-05-20,15696.01,2.6,929
STORE_193,North,Hypermarket,2024-03-28,28908.02,3.2,1091
STORE_194,North,Express,2024-05-03,11127.85,2.9,728
STORE_195,North,Hypermarket,2024-06-12,16052.28,5.4,1754
STORE_196,North,Hypermarket,2024-05-13,26186.72,5.1,1622
STORE_197,East,Hypermarket,2024-07-20,30160.44,5.9,644
STORE_198,East,Hypermarket,2024-11-01,13283.93,2.6,1126
STORE_199,South,Hypermarket,2024-04-18,42716.6,2.4,678
STORE_200,South,Hypermarket,2024-12-15,11434.68,5.8,1083
STORE_201,North,Express,2024-05-03,16136.4,3.7,624
STORE_202,West,Express,2024-11-16,34065.23,2.3,537
STORE_203,South,Online,2024-03-06,20355.71,4.1,0
STORE_204,West,Express,2024-02-14,31300.07,6.0,1061
STORE_205,North,Online,2024-12-15,20712.49,2.1,0
STORE_206,West,Hypermarket,2024-10-06,34508.77,5.8,1848
STORE_207,North,Hypermarket,2024-09-17,35491.99,3.4,1886
STORE_208,West,Hypermarket,2024-07-10,32763.67,3.4,1017
STORE_209,North,Express,2024-09-04,44286.28,4.4,1169
STORE_210,North,Hypermarket,2024-01-27,19014.64,2.4,941
STORE_211,North,Online,2024-09-05,39562.68,2.9,0
STORE_212,South,Express,2024-03-28,45312.87,4.8,1443
STORE_213,South,Online,2024-03-16,47368.38,3.2,0
STORE_214,East,Online,2024-04-27,31102.23,2.3,0
STORE_215,West,Online,2024-05-30,47251.78,5.4,0
STORE_216,East,Hypermarket,2024-06-10,10158.0,3.0,798
STORE_217,West,Online,2024-09-25,27519.62,2.9,0
STORE_218,West,Online,2024-04-14,44735.31,5.0,0
STORE_219,West,Online,2024-12-22,37437.68,3.7,0
STORE_220,West,Express,2024-11-03,35115.68,2.7,630
STORE_221,North,Express,2024-08-30,48096.43,2.1,1215
STORE_222,South,Hypermarket,2024-12-18,22623.01,5.0,1025
STORE_223,North,Express,2024-07-31,11046.44,4.7,510
STORE_224,East,Express,2024-08-27,31237.34,3.7,1357
STORE_225,East,Online,2024-11-15,33549.11,5.4,0
STORE_226,South,Express,2024-05-20,46993.84,5.3,1482
STORE_227,East,Online,2024-11-26,17429.09,2.7,0
STORE_228,West,Express,2024-10-23,42384.09,5.0,1368
STORE_229,North,Hypermarket,2024-10-12,34007.41,6.0,1457
STORE_230,East,Express,2024-02-01,28508.5,2.2,1073
STORE_231,South,Express,2024-03-20,47637.51,3.5,1312
STORE_232,North,Express,2024-12-30,24393.91,2.3,1276
STORE_233,East,Online,2024-11-18,28241.56,3.3,0
STORE_234,East,Online,2024-10-30,47960.0,3.8,0
STORE_235,West,Online,2024-09-04,14758.15,2.7,0
STORE_236,East,Online,2024-12-09,18984.11,3.1,0
STORE_237,North,Online,2024-12-25,45347.14,5.1,0
STORE_238,West,Hypermarket,2024-01-17,43062.32,3.7,976
STORE_239,East,Express,2024-04-19,13400.53,2.3,558
STORE_240,East,Express,2024-07-17,34358.88,5.7,1066
STORE_241,East,Hypermarket,2024-04-01,42408.38,4.4,1369
STORE_242,East,Online,2024-10-28,13233.89,3.2,0
STORE_243,South,Online,2024-02-05,39879.03,3.4,0
STORE_244,West,Express,2024-11-04,49379.12,2.7,1937
STORE_245,South,Hypermarket,2024-05-06,43312.75,5.5,1566
STORE_246,West,Hypermarket,2024-05-17,11487.08,3.4,1265
STORE_247,South,Hypermarket,2024-10-14,19721.43,2.4,1466
STORE_248,West,Online,2024-05-11,10868.79,3.7,0
STORE_249,North,Express,2024-12-13,21015.91,3.4,1817
STORE_250,South,Express,2024-09-19,33577.95,5.9,1139
STORE_251,South,Online,2024-01-16,39521.26,2.2,0
STORE_252,North,Online,2024-12-19,20360.99,4.9,0
STORE_253,West,Express,2024-08-01,21065.65,3.2,1325
STORE_254,South,Hypermarket,2024-05-25,44140.46,3.9,1611
STORE_255,South,Online,2024-05-31,46982.65,5.9,0
STORE_256,North,Express,2024-02-26,27907.27,4.0,1789
STORE_257,East,Express,2024-02-24,33465.65,5.1,1444
STORE_258,East,Online,2024-07-23,28394.35,5.6,0
STORE_259,North,Express,2024-08-10,28395.86,2.3,669
STORE_260,West,Hypermarket,2024-09-09,34379.23,4.7,843
STORE_261,West,Hypermarket,2024-11-24,12861.48,2.4,1021
STORE_262,North,Express,2024-03-27,20231.97,3.7,1421
STORE_263,East,Online,2024-05-02,46708.67,2.3,0
STORE_264,South,Online,2024-11-15,20015.8,2.1,0
STORE_265,South,Hypermarket,2024-01-02,11973.99,4.3,1982
STORE_266,East,Online,2024-10-26,24324.44,3.2,0
STORE_267,South,Hypermarket,2024-09-25,26206.4,6.0,1442
STORE_268,South,Hypermarket,2024-12-19,45029.14,2.8,644
STORE_269,South,Express,2024-01-22,13727.35,3.9,1432
STORE_270,West,Online,2024-07-08,42135.8,2.6,0
STORE_271,East,Express,2024-07-31,11402.06,2.6,636
STORE_272,South,Express,2024-11-12,12528.78,3.8,1786
STORE_273,West,Express,2024-10-10,13866.63,5.4,1019
STORE_274,West,Hypermarket,2024-05-09,26488.65,5.6,1728
STORE_275,North,Online,2024-11-24,39649.3,2.0,0
STORE_276,West,Online,2024-10-22,28037.88,2.0,0
STORE_277,South,Hypermarket,2024-01-11,18056.43,2.8,635
STORE_278,East,Hypermarket,2024-11-10,29226.97,5.8,864
STORE_279,North,Online,2024-01-31,33402.53,4.6,0
STORE_280,East,Hypermarket,2024-11-07,22257.23,2.1,752
STORE_281,East,Hypermarket,2024-07-22,33630.22,2.4,1337
STORE_282,East,Express,2024-09-07,48895.0,5.7,920
STORE_283,North,Online,2024-08-02,33100.81,2.4,0
STORE_284,North,Express,2024-09-22,33089.99,5.3,957
STORE_285,West,Hypermarket,2024-01-26,40829.83,4.3,1199
STORE_286,South,Hypermarket,2024-07-27,20687.03,5.0,1857
STORE_287,South,Online,2024-05-01,33437.52,4.7,0
STORE_288,West,Online,2024-04-05,15105.96,4.0,0
STORE_289,North,Hypermarket,2024-06-13,39562.46,2.1,1928
STORE_290,South,Hypermarket,2024-01-22,14696.81,2.1,1520
STORE_291,West,Express,2024-12-08,29225.85,3.6,836
STORE_292,North,Hypermarket,2024-08-07,28534.0,2.3,1676
STORE_293,South,Online,2024-05-28,20114.95,5.4,0
STORE_294,West,Online,2024-01-18,49887.4,4.0,0
STORE_295,South,Express,2024-12-22,18019.04,3.9,1521
STORE_296,West,Online,2024-12-30,13242.05,5.5,0
STORE_297,South,Express,2024-02-20,22204.98,3.0,1402
STORE_298,East,Express,2024-02-21,15291.25,3.2,1388
STORE_299,West,Online,2024-04-11,34511.1,5.7,0
STORE_300,North,Hypermarket,2024-11-02,36757.35,3.5,1212
STORE_301,West,Hypermarket,2024-05-05,37785.73,5.7,1095
STORE_302,North,Express,2024-10-19,20579.38,2.7,1183
STORE_303,North,Online,2024-01-10,40961.23,5.2,0
STORE_304,South,Express,2024-04-21,15921.99,3.9,732
STORE_305,West,Express,2024-08-05,30133.68,3.0,772
STORE_306,East,Express,2024-08-15,11840.48,4.8,1985
STORE_307,West,Hypermarket,2024-12-29,36623.26,5.2,1321
STORE_308,North,Online,2024-08-07,16476.14,4.5,0
STORE_309,East,Express,2024-07-23,11860.15,4.3,1071
STORE_310,South,Hypermarket,2024-08-22,19985.45,4.4,1536
STORE_311,South,Online,2024-08-12,19628.99,3.3,0
STORE_312,North,Online,2024-05-11,29111.46,2.4,0
STORE_313,West,Online,2024-12-12,19095.84,3.2,0
STORE_314,East,Hypermarket,2024-10-17,12998.73,4.0,1585
STORE_315,East,Hypermarket,2024-03-20,19145.72,2.2,806
STORE_316,West,Hypermarket,2024-09-24,35847.69,2.6,1224
STORE_317,South,Online,2024-10-13,37421.29,4.4,0
STORE_318,East,Online,2024-06-13,47221.0,4.3,0
STORE_319,East,Online,2024-07-19,24291.76,5.8,0
STORE_320,West,Online,2024-10-27,16747.86,5.1,0
STORE_321,West,Express,2024-01-09,42761.8,2.1,721
STORE_322,South,Express,2024-11-01,41066.0,5.7,1203
STORE_323,South,Online,2024-02-03,48343.41,5.9,0
STORE_324,West,Hypermarket,2024-11-08,14542.84,3.8,1653
STORE_325,East,Hypermarket,2024-11-23,34160.14,3.3,1630
STORE_326,East,Hypermarket,2024-09-21,19570.09,5.8,1898
STORE_327,West,Express,2024-10-13,36551.96,2.7,1740
STORE_328,North,Express,2024-09-04,18482.57,3.4,1682
STORE_329,East,Online,2024-01-26,43076.95,3.0,0
STORE_330,West,Hypermarket,2024-07-16,25156.68,3.3,1308
STORE_331,East,Express,2024-09-30,49947.97,3.6,1770
STORE_332,West,Express,2024-07-10,42762.61,4.0,1296
STORE_333,South,Online,2024-07-21,20640.08,3.4,0
STORE_334,North,Hypermarket,2024-09-29,34407.25,5.2,1910
STORE_335,West,Hypermarket,2024-08-27,41800.16,2.8,1117
STORE_336,East,Express,2024-03-18,33325.96,3.1,933
STORE_337,East,Express,2024-02-13,39777.54,5.5,1857
STORE_338,North,Express,2024-11-21,14385.72,4.3,1856
STORE_339,West,Online,2024-10-12,38586.92,4.6,0
STORE_340,North,Express,2024-05-12,48596.33,3.8,1670
STORE_341,West,Express,2024-04-08,39998.11,3.1,538
STORE_342,West,Express,2024-04-12,23853.8,5.6,1527
STORE_343,South,Online,2024-01-11,45107.9,5.6,0
STORE_344,West,Online,2024-01-27,23121.7,3.4,0
STORE_345,North,Express,2024-01-18,37289.16,5.3,861
STORE_346,West,Express,2024-09-19,17881.68,4.0,670
STORE_347,West,Hypermarket,2024-03-20,44840.36,2.4,1571
STORE_348,South,Online,2024-09-16,26368.42,3.7,0
STORE_349,West,Online,2024-07-10,33944.89,2.9,0
STORE_350,South,Online,2024-11-05,12849.68,2.3,0
STORE_351,East,Online,2024-11-02,30786.0,4.1,0
STORE_352,West,Express,2024-03-23,36008.79,5.4,776
STORE_353,North,Online,2024-09-29,43796.06,5.0,0
STORE_354,North,Hypermarket,2024-10-01,40114.25,3.9,612
STORE_355,North,Hypermarket,2024-07-03,48374.39,5.3,1489
STORE_356,West,Hypermarket,2024-03-26,33776.09,2.2,1466
STORE_357,West,Express,2024-05-04,45470.95,3.1,842
STORE_358,West,Hypermarket,2024-04-23,31747.62,5.8,764
STORE_359,East,Express,2024-06-24,37033.89,4.3,1491
STORE_360,West,Hypermarket,2024-07-14,39366.84,2.8,1494
STORE_361,West,Hypermarket,2024-12-12,11802.37,2.4,913
STORE_362,West,Hypermarket,2024-07-03,45016.94,3.4,1552
STORE_363,South,Express,2024-02-09,35683.76,5.0,949
STORE_364,West,Hypermarket,2024-06-09,48014.64,3.9,1877
STORE_365,West,Online,2024-09-18,20063.9,3.0,0
STORE_366,North,Hypermarket,2024-03-31,12669.22,2.2,746
STORE_367,North,Express,2024-12-14,42704.17,2.4,996
STORE_368,West,Online,2024-12-18,24006.18,5.9,0
STORE_369,South,Online,2024-07-31,17019.19,5.3,0
STORE_370,East,Hypermarket,2024-09-02,39787.64,3.7,1048
STORE_371,South,Express,2024-10-13,44670.46,4.1,1360
STORE_372,West,Express,2024-07-21,41979.33,5.4,1014
STORE_373,North,Hypermarket,2024-03-08,17692.6,5.0,926
STORE_374,South,Online,2024-06-18,31951.87,5.8,0
STORE_375,West,Hypermarket,2024-09-12,29415.58,4.1,1235
STORE_376,East,Hypermarket,2024-03-21,27740.37,4.7,914
STORE_377,North,Hypermarket,2024-03-30,15425.7,3.8,1000
STORE_378,North,Hypermarket,2024-10-07,10415.25,4.2,1549
STORE_379,North,Online,2024-08-24,17996.89,3.1,0
STORE_380,North,Online,2024-09-23,45695.53,3.9,0
STORE_381,South,Hypermarket,2024-08-30,43265.18,3.4,1526
STORE_382,East,Express,2024-07-19,33674.67,4.2,954
STORE_383,West,Online,2024-06-11,36627.39,4.7,0
STORE_384,North,Online,2024-10-05,23921.2,3.3,0
STORE_385,West,Online,2024-07-23,26407.0,3.9,0
STORE_386,North,Express,2024-07-07,25969.69,2.0,1051
STORE_387,South,Hypermarket,2024-10-17,28715.35,5.5,556
STORE_388,North,Online,2024-01-23,35215.71,5.0,0
STORE_389,South,Online,2024-08-10,34543.87,3.1,0
STORE_390,East,Online,2024-05-20,12213.58,5.8,0
STORE_391,South,Online,2024-04-27,30832.83,3.9,0
STORE_392,East,Express,2024-08-27,16844.1,4.1,841
STORE_393,West,Hypermarket,2024-06-15,45145.45,3.7,1399
STORE_394,East,Express,2024-07-22,26403.95,4.8,1601
STORE_395,East,Hypermarket,2024-10-06,47236.89,5.3,1295
STORE_396,North,Hypermarket,2024-08-10,24270.6,3.0,1272
STORE_397,East,Online,2024-08-18,13633.19,2.2,0
STORE_398,East,Express,2024-11-24,16039.09,4.6,1681
STORE_399,East,Hypermarket,2024-07-12,24008.02,2.6,1288
STORE_400,West,Online,2024-04-02,27465.2,2.7,0
STORE_401,West,Express,2024-12-19,27238.52,2.4,644
STORE_402,South,Online,2024-12-29,47564.17,3.7,0
STORE_403,East,Express,2024-05-02,41472.74,5.4,503
STORE_404,North,Express,2024-01-02,39943.38,5.1,1683
STORE_405,West,Online,2024-09-14,26343.61,4.5,0
STORE_406,South,Hypermarket,2024-06-02,18103.05,2.8,1621
STORE_407,South,Online,2024-12-13,24270.63,2.6,0
STORE_408,North,Hypermarket,2024-12-29,13487.83,2.3,1461
STORE_409,South,Online,2024-09-17,44411.97,5.4,0
STORE_410,East,Hypermarket,2024-07-24,21951.96,2.1,1107
STORE_411,South,Online,2024-08-09,47956.99,4.6,0
STORE_412,South,Hypermarket,2024-02-01,21346.35,5.7,661
STORE_413,North,Express,2024-08-03,15437.95,5.7,1180
STORE_414,South,Express,2024-11-25,44816.75,4.0,1633
STORE_415,East,Online,2024-02-06,29085.77,3.2,0
STORE_416,West,Hypermarket,2024-07-23,11110.86,2.1,1745
STORE_417,East,Online,2024-06-18,41987.76,2.7,0
STORE_418,West,Express,2024-10-18,23222.56,2.3,609
STORE_419,South,Hypermarket,2024-08-29,18501.6,4.8,1495
STORE_420,West,Online,2024-03-27,35940.95,5.4,0
STORE_421,North,Hypermarket,2024-02-18,30974.34,4.2,998
STORE_422,East,Express,2024-04-26,46733.97,5.1,1219
STORE_423,South,Online,2024-08-18,32308.22,2.3,0
STORE_424,West,Express,2024-06-03,25969.11,2.4,964
STORE_425,North,Online,2024-02-25,13551.16,3.0,0
STORE_426,West,Hypermarket,2024-06-03,13180.34,3.6,1239
STORE_427,South,Hypermarket,2024-09-11,16795.93,3.8,1125
STORE_428,East,Hypermarket,2024-06-02,42697.87,3.8,602
STORE_429,East,Online,2024-07-28,48051.03,3.2,0
STORE_430,West,Express,2024-01-13,46873.28,2.7,1270
STORE_431,South,Express,2024-11-10,22166.23,5.2,1047
STORE_432,West,Hypermarket,2024-05-15,45540.17,5.2,556
STORE_433,East,Online,2024-09-07,37944.51,4.0,0
STORE_434,South,Online,2024-09-25,32979.35,4.8,0
STORE_435,North,Online,2024-03-21,13482.5,4.6,0
STORE_436,South,Express,2024-11-17,31822.2,5.6,824
STORE_437,West,Online,2024-03-18,27879.04,4.2,0
STORE_438,South,Hypermarket,2024-09-11,22609.94,2.1,753
STORE_439,South,Express,2024-06-27,19756.79,4.3,1028
STORE_440,South,Hypermarket,2024-06-24,44945.04,3.8,1830
STORE_441,North,Express,2024-09-18,47941.02,5.5,963
STORE_442,West,Express,2024-08-24,26173.14,2.4,714
STORE_443,West,Hypermarket,2024-09-27,21687.99,4.7,1301
STORE_444,North,Online,2024-05-04,19858.94,5.5,0
STORE_445,North,Express,2024-05-18,49401.91,5.2,1447
STORE_446,North,Express,2024-12-03,35574.24,3.9,1273
STORE_447,North,Online,2024-05-14,17843.87,2.8,0
STORE_448,North,Online,2024-04-06,27361.69,5.6,0
STORE_449,East,Hypermarket,2024-01-16,25117.76,4.9,1148
STORE_450,North,Express,2024-07-16,34880.94,3.7,879
STORE_451,North,Hypermarket,2024-03-01,32405.07,4.1,847
STORE_452,South,Online,2024-04-19,27451.59,2.3,0
STORE_453,North,Hypermarket,2024-02-13,32418.61,3.6,1542
