alert_id,store_id,sku_id,category,stock_level,threshold,markdown_recommended,date
ALERT_0033,STORE_068,SKU_Snacks_947,Snacks,183,143,True,2024-08-31
ALERT_0034,STORE_090,SKU_Cereals_127,Beverages,51,80,False,2024-05-25
ALERT_0035,STORE_013,SKU_Cereals_338,Cereals,277,150,True,2024-07-19
ALERT_0036,STORE_089,SKU_Snacks_420,Beverages,383,131,True,2024-01-11
ALERT_0037,STORE_076,SKU_Beverages_894,Beverages,313,137,True,2024-06-03
ALERT_0038,STORE_075,SKU_Cereals_163,Snacks,415,93,True,2024-09-16
ALERT_0039,STORE_099,SKU_Cereals_166,Beverages,493,94,True,2024-05-13
ALERT_0040,STORE_005,SKU_Snacks_370,Snacks,469,124,True,2024-03-22
ALERT_0041,STORE_001,SKU_Beverages_974,Cereals,233,145,True,2024-09-07
ALERT_0042,STORE_050,SKU_Beverages_795,Beverages,294,97,True,2024-12-08
ALERT_0043,STORE_041,SKU_Beverages_231,Beverages,343,84,True,2024-11-26
ALERT_0044,STORE_016,SKU_Cereals_179,Cereals,50,90,False,2024-11-12
ALERT_0045,STORE_076,SKU_Cereals_361,Cereals,291,145,True,2024-12-23
ALERT_0046,STORE_062,SKU_Snacks_970,Cereals,385,99,True,2024-09-10
ALERT_0047,STORE_024,SKU_Beverages_135,Beverages,141,148,False,2024-04-04
ALERT_0048,STORE_056,SKU_Snacks_389,Cereals,139,147,False,2024-11-12
ALERT_0049,STORE_007,SKU_Snacks_705,Cereals,317,85,True,2024-09-19
ALERT_0050,STORE_019,SKU_Snacks_638,Cereals,94,137,False,2024-09-08
ALERT_0051,STORE_044,SKU_Beverages_522,Beverages,238,81,True,2024-04-11
ALERT_0052,STORE_084,SKU_Snacks_652,Snacks,490,97,True,2024-05-09
ALERT_0053,STORE_046,SKU_Beverages_766,Beverages,402,150,True,2024-08-09
ALERT_0054,STORE_083,SKU_Snacks_923,Snacks,198,111,True,2024-01-08
ALERT_0055,STORE_066,SKU_Beverages_281,Beverages,127,136,False,2024-11-13
ALERT_0056,STORE_041,SKU_Cereals_574,Cereals,386,143,True,2024-04-24
ALERT_0057,STORE_061,SKU_Beverages_289,Cereals,457,129,True,2024-05-20
ALERT_0058,STORE_015,SKU_Snacks_890,Cereals,194,82,True,2024-01-24
ALERT_0059,STORE_034,SKU_Cereals_297,Snacks,473,128,True,2024-01-21
ALERT_0060,STORE_041,SKU_Snacks_614,Snacks,382,89,True,2024-12-10
ALERT_0061,STORE_036,SKU_Beverages_593,Beverages,161,110,True,2024-02-24
ALERT_0062,STORE_068,SKU_Snacks_435,Beverages,276,118,True,2024-03-20
ALERT_0063,STORE_080,SKU_Beverages_906,Cereals,394,90,True,2024-03-19
ALERT_0064,STORE_052,SKU_Beverages_739,Cereals,472,90,True,2024-05-19
ALERT_0065,STORE_013,SKU_Snacks_615,Beverages,266,117,True,2024-12-24
ALERT_0066,STORE_068,SKU_Cereals_510,Cereals,467,132,True,2024-03-02
ALERT_0067,STORE_050,SKU_Beverages_978,Cereals,458,131,True,2024-05-06
ALERT_0068,STORE_008,SKU_Cereals_802,Beverages,176,96,True,2024-08-18
ALERT_0069,STORE_042,SKU_Snacks_719,Beverages,338,103,True,2024-05-11
ALERT_0070,STORE_096,SKU_Beverages_655,Beverages,423,109,True,2024-06-25
ALERT_0071,STORE_088,SKU_Cereals_659,Cereals,228,98,True,2024-08-18
ALERT_0072,STORE_043,SKU_Snacks_368,Cereals,122,136,False,2024-09-20
ALERT_0073,STORE_100,SKU_Beverages_927,Cereals,332,82,True,2024-02-18
ALERT_0074,STORE_065,SKU_Beverages_651,Snacks,293,128,True,2024-03-17
ALERT_0075,STORE_090,SKU_Beverages_540,Cereals,203,149,True,2024-12-18
ALERT_0076,STORE_080,SKU_Cereals_906,Beverages,463,82,True,2024-03-09
ALERT_0077,STORE_037,SKU_Cereals_620,Snacks,244,127,True,2024-08-02
ALERT_0078,STORE_044,SKU_Beverages_457,Snacks,180,144,True,2024-05-22
ALERT_0079,STORE_076,SKU_Snacks_535,Beverages,407,119,True,2024-09-28
ALERT_0080,STORE_044,SKU_Beverages_309,Beverages,302,119,True,2024-07-07
ALERT_0081,STORE_076,SKU_Cereals_134,Snacks,93,93,False,2024-04-09
ALERT_0082,STORE_100,SKU_Cereals_908,Beverages,264,98,True,2024-01-28
ALERT_0083,STORE_009,SKU_Beverages_717,Snacks,219,100,True,2024-07-17
ALERT_0084,STORE_081,SKU_Snacks_371,Snacks,231,82,True,2024-11-27
ALERT_0085,STORE_069,SKU_Snacks_740,Beverages,194,103,True,2024-04-02
ALERT_0086,STORE_055,SKU_Cereals_553,Snacks,254,129,True,2024-05-16
ALERT_0087,STORE_052,SKU_Cereals_298,Cereals,196,105,True,2024-10-07
ALERT_0088,STORE_010,SKU_Cereals_782,Beverages,285,88,True,2024-05-10
ALERT_0089,STORE_089,SKU_Snacks_848,Snacks,215,109,True,2024-07-25
ALERT_0090,STORE_081,SKU_Beverages_849,Cereals,141,123,True,2024-06-27
ALERT_0091,STORE_028,SKU_Snacks_539,Snacks,156,133,True,2024-06-11
ALERT_0092,STORE_083,SKU_Snacks_321,Cereals,194,143,True,2024-06-20
ALERT_0093,STORE_027,SKU_Beverages_467,Snacks,202,118,True,2024-04-11
ALERT_0094,STORE_082,SKU_Cereals_631,Snacks,364,107,True,2024-06-08
ALERT_0095,STORE_074,SKU_Snacks_782,Beverages,164,124,True,2024-05-11
ALERT_0096,STORE_025,SKU_Beverages_582,Snacks,240,90,True,2024-09-30
ALERT_0097,STORE_021,SKU_Snacks_301,Snacks,421,112,True,2024-01-04
ALERT_0098,STORE_005,SKU_Cereals_670,Snacks,479,113,True,2024-08-19
ALERT_0099,STORE_080,SKU_Snacks_552,Beverages,270,133,True,2024-05-24
ALERT_0100,STORE_083,SKU_Beverages_242,Cereals,197,85,True,2024-10-11
ALERT_0101,STORE_063,SKU_Snacks_162,Beverages,283,99,True,2024-10-29
ALERT_0102,STORE_091,SKU_Cereals_953,Snacks,182,86,True,2024-01-25
ALERT_0103,STORE_095,SKU_Snacks_885,Snacks,249,129,True,2024-04-06
ALERT_0104,STORE_015,SKU_Snacks_630,Snacks,356,93,True,2024-02-22
ALERT_0105,STORE_021,SKU_Beverages_761,Snacks,262,87,True,2024-04-09
ALERT_0106,STORE_093,SKU_Snacks_570,Beverages,420,111,True,2024-10-22
ALERT_0107,STORE_095,SKU_Beverages_142,Beverages,227,141,True,2024-07-10
ALERT_0108,STORE_020,SKU_Beverages_812,Beverages,358,94,True,2024-05-14
ALERT_0109,STORE_042,SKU_Beverages_146,Snacks,350,143,True,2024-07-08
ALERT_0110,STORE_046,SKU_Beverages_611,Beverages,222,105,True,2024-09-12
ALERT_0111,STORE_016,SKU_Cereals_536,Cereals,473,112,True,2024-07-23
ALERT_0112,STORE_083,SKU_Snacks_239,Cereals,236,113,True,2024-03-25
ALERT_0113,STORE_070,SKU_Cereals_201,Cereals,243,115,True,2024-05-12
ALERT_0114,STORE_059,SKU_Snacks_880,Beverages,304,115,True,2024-04-05
ALERT_0115,STORE_050,SKU_Beverages_704,Snacks,83,119,False,2024-05-30
ALERT_0116,STORE_002,SKU_Snacks_436,Cereals,339,88,True,2024-09-23
ALERT_0117,STORE_011,SKU_Snacks_858,Cereals,97,111,False,2024-05-24
ALERT_0118,STORE_098,SKU_Beverages_125,Beverages,281,98,True,2024-02-12
ALERT_0119,STORE_044,SKU_Cereals_737,Beverages,364,87,True,2024-11-28
ALERT_0120,STORE_068,SKU_Snacks_688,Snacks,413,107,True,2024-07-05
ALERT_0121,STORE_065,SKU_Beverages_600,Cereals,178,120,True,2024-03-13
ALERT_0122,STORE_097,SKU_Snacks_377,Snacks,108,96,True,2024-07-17
ALERT_0123,STORE_083,SKU_Beverages_729,Cereals,151,96,True,2024-03-30
ALERT_0124,STORE_002,SKU_Beverages_942,Cereals,85,109,False,2024-01-09
ALERT_0125,STORE_029,SKU_Cereals_649,Beverages,292,148,True,2024-08-31
ALERT_0126,STORE_056,SKU_Snacks_538,Beverages,238,140,True,2024-04-25
ALERT_0127,STORE_028,SKU_Cereals_252,Snacks,302,140,True,2024-08-03
ALERT_0128,STORE_032,SKU_Beverages_937,Cereals,106,113,False,2024-09-04
ALERT_0129,STORE_086,SKU_Cereals_815,Snacks,394,85,True,2024-09-29
ALERT_0130,STORE_052,SKU_Snacks_990,Snacks,215,131,True,2024-04-26
ALERT_0131,STORE_016,SKU_Cereals_254,Snacks,479,89,True,2024-02-01
ALERT_0132,STORE_011,SKU_Snacks_202,Cereals,247,141,True,2024-10-21
ALERT_0133,STORE_055,SKU_Beverages_316,Snacks,138,81,True,2024-04-20
ALERT_0134,STORE_049,SKU_Beverages_759,Snacks,270,86,True,2024-08-05
ALERT_0135,STORE_051,SKU_Cereals_347,Cereals,80,130,False,2024-01-24
ALERT_0136,STORE_055,SKU_Cereals_159,Snacks,380,148,True,2024-08-28
ALERT_0137,STORE_024,SKU_Beverages_387,Cereals,72,117,False,2024-12-03
ALERT_0138,STORE_076,SKU_Beverages_832,Cereals,472,109,True,2024-04-21
ALERT_0139,STORE_036,SKU_Cereals_683,Cereals,475,123,True,2024-04-30
ALERT_0140,STORE_068,SKU_Beverages_574,Snacks,437,116,True,2024-01-01
ALERT_0141,STORE_046,SKU_Snacks_383,Beverages,178,108,True,2024-11-06
ALERT_0142,STORE_021,SKU_Beverages_267,Beverages,355,124,True,2024-04-30
ALERT_0143,STORE_063,SKU_Beverages_371,Cereals,383,123,True,2024-06-29
ALERT_0144,STORE_089,SKU_Beverages_191,Cereals,276,94,True,2024-05-11
ALERT_0145,STORE_076,SKU_Snacks_398,Beverages,63,137,False,2024-11-30
ALERT_0146,STORE_055,SKU_Beverages_171,Snacks,395,118,True,2024-12-12
ALERT_0147,STORE_050,SKU_Cereals_963,Cereals,91,96,False,2024-03-10
ALERT_0148,STORE_007,SKU_Cereals_698,Beverages,318,147,True,2024-02-27
ALERT_0149,STORE_043,SKU_Beverages_642,Cereals,336,83,True,2024-01-29
ALERT_0150,STORE_057,SKU_Beverages_257,Beverages,442,84,True,2024-06-14
ALERT_0151,STORE_051,SKU_Snacks_618,Snacks,282,126,True,2024-05-27
ALERT_0152,STORE_061,SKU_Snacks_384,Cereals,291,110,True,2024-11-06
ALERT_0153,STORE_085,SKU_Beverages_966,Cereals,466,148,True,2024-01-19
ALERT_0154,STORE_078,SKU_Snacks_672,Snacks,468,134,True,2024-09-11
ALERT_0155,STORE_063,SKU_Cereals_197,Beverages,301,93,True,2024-04-19
ALERT_0156,STORE_046,SKU_Snacks_490,Beverages,492,88,True,2024-03-11
ALERT_0157,STORE_066,SKU_Beverages_486,Snacks,335,132,True,2024-12-31
ALERT_0158,STORE_055,SKU_Cereals_546,Beverages,241,136,True,2024-07-09
ALERT_0159,STORE_007,SKU_Cereals_250,Snacks,342,142,True,2024-08-20
ALERT_0160,STORE_023,SKU_Snacks_657,Beverages,434,89,True,2024-09-08
ALERT_0161,STORE_005,SKU_Cereals_919,Snacks,99,115,False,2024-02-23
ALERT_0162,STORE_021,SKU_Cereals_832,Beverages,337,107,True,2024-11-26
ALERT_0163,STORE_072,SKU_Snacks_554,Cereals,284,101,True,2024-01-03
ALERT_0164,STORE_096,SKU_Cereals_330,Cereals,207,112,True,2024-11-10
ALERT_0165,STORE_030,SKU_Beverages_568,Cereals,207,96,True,2024-12-03
ALERT_0166,STORE_092,SKU_Snacks_620,Beverages,180,133,True,2024-04-20
ALERT_0167,STORE_093,SKU_Cereals_881,Beverages,398,141,True,2024-03-14
ALERT_0168,STORE_095,SKU_Cereals_844,Snacks,432,116,True,2024-12-08
ALERT_0169,STORE_033,SKU_Cereals_859,Snacks,145,106,True,2024-12-25
ALERT_0170,STORE_062,SKU_Beverages_961,Snacks,253,126,True,2024-07-22
ALERT_0171,STORE_005,SKU_Snacks_955,Cereals,57,87,False,2024-02-05
ALERT_0172,STORE_049,SKU_Cereals_880,Snacks,304,138,True,2024-04-26
ALERT_0173,STORE_017,SKU_Snacks_179,Cereals,390,126,True,2024-02-28
ALERT_0174,STORE_056,SKU_Snacks_648,Beverages,245,84,True,2024-08-15
ALERT_0175,STORE_092,SKU_Cereals_459,Cereals,71,84,False,2024-08-15
ALERT_0176,STORE_099,SKU_Beverages_921,Beverages,116,92,True,2024-03-28
ALERT_0177,STORE_003,SKU_Beverages_518,Cereals,93,135,False,2024-12-07
ALERT_0178,STORE_023,SKU_Beverages_758,Cereals,114,129,False,2024-09-16
ALERT_0179,STORE_046,SKU_Beverages_148,Snacks,99,141,False,2024-01-23
ALERT_0180,STORE_008,SKU_Snacks_500,Beverages,66,104,False,2024-04-02
ALERT_0181,STORE_010,SKU_Snacks_209,Cereals,362,101,True,2024-12-13
ALERT_0182,STORE_033,SKU_Cereals_421,Snacks,252,128,True,2024-09-21
ALERT_0183,STORE_076,SKU_Snacks_458,Beverages,239,102,True,2024-06-15
ALERT_0184,STORE_069,SKU_Beverages_443,Cereals,246,104,True,2024-07-02
ALERT_0185,STORE_077,SKU_Cereals_907,Cereals,123,130,False,2024-06-11
ALERT_0186,STORE_048,SKU_Cereals_237,Snacks,332,148,True,2024-08-05
ALERT_0187,STORE_074,SKU_Cereals_826,Snacks,354,98,True,2024-07-18
ALERT_0188,STORE_090,SKU_Cereals_733,Beverages,270,128,True,2024-08-05
ALERT_0189,STORE_085,SKU_Beverages_921,Beverages,185,94,True,2024-01-01
ALERT_0190,STORE_010,SKU_Cereals_245,Cereals,320,108,True,2024-04-21
ALERT_0191,STORE_078,SKU_Beverages_261,Snacks,252,95,True,2024-05-16
ALERT_0192,STORE_045,SKU_Snacks_213,Cereals,99,125,False,2024-04-23
ALERT_0193,STORE_048,SKU_Beverages_540,Cereals,310,114,True,2024-07-03
ALERT_0194,STORE_089,SKU_Snacks_786,Cereals,468,130,True,2024-02-01
ALERT_0195,STORE_008,SKU_Snacks_708,Snacks,222,137,True,2024-10-13
ALERT_0196,STORE_005,SKU_Snacks_871,Beverages,391,135,True,2024-04-16
ALERT_0197,STORE_097,SKU_Cereals_408,Snacks,180,99,True,2024-05-09
ALERT_0198,STORE_040,SKU_Snacks_723,Beverages,333,141,True,2024-09-26
ALERT_0199,STORE_063,SKU_Snacks_603,Cereals,205,108,True,2024-09-13
ALERT_0200,STORE_058,SKU_Snacks_346,Cereals,229,99,True,2024-12-15
ALERT_0201,STORE_006,SKU_Snacks_102,Cereals,248,148,True,2024-05-20
ALERT_0202,STORE_031,SKU_Beverages_689,Snacks,73,115,False,2024-11-25
ALERT_0203,STORE_098,SKU_Snacks_672,Beverages,445,112,True,2024-08-17
ALERT_0204,STORE_007,SKU_Cereals_873,Snacks,382,129,True,2024-03-02
ALERT_0205,STORE_009,SKU_Snacks_977,Snacks,483,93,True,2024-03-25
ALERT_0206,STORE_022,SKU_Cereals_459,Beverages,481,88,True,2024-10-11
ALERT_0207,STORE_058,SKU_Cereals_640,Snacks,282,104,True,2024-06-04
ALERT_0208,STORE_035,SKU_Beverages_368,Beverages,135,85,True,2024-04-18
ALERT_0209,STORE_040,SKU_Snacks_821,Beverages,265,107,True,2024-05-16
ALERT_0210,STORE_064,SKU_Cereals_967,Cereals,267,132,True,2024-01-10
ALERT_0211,STORE_093,SKU_Snacks_962,Cereals,358,131,True,2024-11-14
ALERT_0212,STORE_067,SKU_Beverages_928,Cereals,79,139,False,2024-05-17
ALERT_0213,STORE_081,SKU_Beverages_825,Cereals,295,148,True,2024-12-23
ALERT_0214,STORE_050,SKU_Cereals_841,Snacks,201,142,True,2024-05-03
ALERT_0215,STORE_009,SKU_Snacks_992,Cereals,292,136,True,2024-05-25
ALERT_0216,STORE_007,SKU_Snacks_419,Snacks,171,83,True,2024-10-26
ALERT_0217,STORE_100,SKU_Cereals_941,Snacks,63,99,False,2024-10-12
ALERT_0218,STORE_059,SKU_Snacks_117,Cereals,56,127,False,2024-02-19
ALERT_0219,STORE_031,SKU_Snacks_944,Cereals,198,82,True,2024-05-17
ALERT_0220,STORE_050,SKU_Cereals_127,Cereals,216,91,True,2024-04-14
ALERT_0221,STORE_048,SKU_Snacks_293,Cereals,489,105,True,2024-06-18
ALERT_0222,STORE_054,SKU_Snacks_573,Cereals,367,126,True,2024-12-18
ALERT_0223,STORE_033,SKU_Beverages_388,Snacks,331,145,True,2024-04-25
ALERT_0224,STORE_098,SKU_Cereals_390,Cereals,97,135,False,2024-04-15
ALERT_0225,STORE_056,SKU_Snacks_450,Beverages,321,93,True,2024-09-21
ALERT_0226,STORE_058,SKU_Beverages_412,Snacks,287,86,True,2024-05-23
ALERT_0227,STORE_063,SKU_Beverages_554,Beverages,176,132,True,2024-05-05
ALERT_0228,STORE_039,SKU_Cereals_283,Beverages,267,106,True,2024-11-11
ALERT_0229,STORE_069,SKU_Beverages_846,Beverages,205,98,True,2024-01-18
ALERT_0230,STORE_007,SKU_Snacks_723,Cereals,405,105,True,2024-06-13
ALERT_0231,STORE_089,SKU_Cereals_672,Snacks,443,111,True,2024-05-18
ALERT_0232,STORE_062,SKU_Snacks_490,Cereals,497,90,True,2024-09-13
ALERT_0233,STORE_002,SKU_Beverages_364,Snacks,477,94,True,2024-02-09
ALERT_0234,STORE_041,SKU_Beverages_480,Cereals,204,86,True,2024-11-11
ALERT_0235,STORE_010,SKU_Snacks_710,Snacks,434,126,True,2024-10-21
ALERT_0236,STORE_037,SKU_Beverages_166,Cereals,337,84,True,2024-01-02
ALERT_0237,STORE_080,SKU_Cereals_435,Snacks,61,138,False,2024-05-29
ALERT_0238,STORE_022,SKU_Beverages_466,Cereals,309,91,True,2024-08-12
ALERT_0239,STORE_033,SKU_Cereals_596,Cereals,258,134,True,2024-08-30
ALERT_0240,STORE_071,SKU_Beverages_761,Beverages,442,89,True,2024-02-29
ALERT_0241,STORE_032,SKU_Cereals_621,Snacks,385,99,True,2024-07-16
ALERT_0242,STORE_034,SKU_Cereals_941,Cereals,320,105,True,2024-04-09
ALERT_0243,STORE_099,SKU_Beverages_994,Beverages,285,137,True,2024-04-11
ALERT_0244,STORE_006,SKU_Snacks_914,Snacks,342,129,True,2024-02-06
ALERT_0245,STORE_085,SKU_Cereals_248,Cereals,321,105,True,2024-09-18
ALERT_0246,STORE_087,SKU_Beverages_333,Snacks,319,118,True,2024-02-14
ALERT_0247,STORE_023,SKU_Beverages_438,Beverages,107,100,True,2024-08-07
ALERT_0248,STORE_087,SKU_Snacks_633,Beverages,224,85,True,2024-12-11
ALERT_0249,STORE_020,SKU_Snacks_290,Cereals,311,86,True,2024-09-26
ALERT_0250,STORE_018,SKU_Cereals_538,Beverages,166,114,True,2024-10-31
ALERT_0251,STORE_030,SKU_Beverages_638,Snacks,68,82,False,2024-02-14
ALERT_0252,STORE_021,SKU_Cereals_647,Beverages,323,138,True,2024-11-22
ALERT_0253,STORE_089,SKU_Snacks_922,Snacks,397,91,True,2024-05-31
ALERT_0254,STORE_061,SKU_Beverages_281,Cereals,176,82,True,2024-01-05
ALERT_0255,STORE_030,SKU_Snacks_337,Beverages,94,125,False,2024-12-07
ALERT_0256,STORE_044,SKU_Cereals_714,Beverages,218,104,True,2024-02-19
ALERT_0257,STORE_052,SKU_Beverages_602,Beverages,207,134,True,2024-01-07
ALERT_0258,STORE_051,SKU_Cereals_251,Snacks,85,120,False,2024-06-01
ALERT_0259,STORE_032,SKU_Snacks_588,Cereals,99,81,True,2024-12-07
ALERT_0260,STORE_076,SKU_Beverages_711,Cereals,312,81,True,2024-12-07
ALERT_0261,STORE_026,SKU_Snacks_852,Cereals,132,87,True,2024-08-24
ALERT_0262,STORE_099,SKU_Snacks_713,Cereals,406,101,True,2024-10-05
ALERT_0263,STORE_056,SKU_Cereals_639,Cereals,282,95,True,2024-08-22
ALERT_0264,STORE_050,SKU_Beverages_666,Cereals,435,111,True,2024-04-27
ALERT_0265,STORE_075,SKU_Cereals_638,Cereals,348,115,True,2024-03-20
ALERT_0266,STORE_033,SKU_Beverages_791,Beverages,264,86,True,2024-05-12
ALERT_0267,STORE_098,SKU_Cereals_967,Snacks,439,145,True,2024-12-02
ALERT_0268,STORE_033,SKU_Cereals_457,Cereals,421,125,True,2024-07-20
ALERT_0269,STORE_066,SKU_Beverages_622,Snacks,179,112,True,2024-11-12
ALERT_0270,STORE_089,SKU_Beverages_404,Cereals,67,92,False,2024-08-12
ALERT_0271,STORE_066,SKU_Snacks_578,Cereals,258,108,True,2024-04-29
ALERT_0272,STORE_040,SKU_Cereals_927,Cereals,52,88,False,2024-02-01
ALERT_0273,STORE_060,SKU_Cereals_392,Cereals,129,95,True,2024-06-11
ALERT_0274,STORE_099,SKU_Beverages_452,Cereals,338,97,True,2024-08-25
ALERT_0275,STORE_049,SKU_Beverages_963,Snacks,300,82,True,2024-08-31
ALERT_0276,STORE_043,SKU_Cereals_573,Beverages,336,126,True,2024-02-10
ALERT_0277,STORE_053,SKU_Cereals_128,Snacks,480,123,True,2024-10-19
ALERT_0278,STORE_016,SKU_Cereals_494,Snacks,225,107,True,2024-05-24
ALERT_0279,STORE_050,SKU_Snacks_581,Snacks,205,118,True,2024-04-23
ALERT_0280,STORE_049,SKU_Cereals_555,Cereals,283,80,True,2024-01-02
ALERT_0281,STORE_031,SKU_Beverages_806,Beverages,352,111,True,2024-10-14
ALERT_0282,STORE_083,SKU_Snacks_128,Beverages,178,126,True,2024-02-24
ALERT_0283,STORE_066,SKU_Beverages_738,Snacks,172,123,True,2024-01-01
ALERT_0284,STORE_072,SKU_Beverages_469,Beverages,121,103,True,2024-08-22
ALERT_0285,STORE_057,SKU_Snacks_328,Beverages,265,112,True,2024-08-08
ALERT_0286,STORE_070,SKU_Cereals_948,Cereals,483,124,True,2024-05-26
ALERT_0287,STORE_086,SKU_Snacks_780,Cereals,409,148,True,2024-01-22
ALERT_0288,STORE_097,SKU_Snacks_582,Snacks,267,108,True,2024-06-21
ALERT_0289,STORE_086,SKU_Cereals_706,Cereals,228,113,True,2024-12-11
ALERT_0290,STORE_007,SKU_Cereals_907,Snacks,419,135,True,2024-12-14
ALERT_0291,STORE_067,SKU_Snacks_886,Cereals,110,137,False,2024-08-19
ALERT_0292,STORE_050,SKU_Snacks_153,Cereals,409,117,True,2024-10-25
ALERT_0293,STORE_042,SKU_Beverages_811,Cereals,193,138,True,2024-07-11
ALERT_0294,STORE_100,SKU_Beverages_972,Snacks,478,124,True,2024-02-23
ALERT_0295,STORE_032,SKU_Beverages_104,Beverages,381,81,True,2024-08-09
ALERT_0296,STORE_008,SKU_Cereals_868,Beverages,171,150,True,2024-06-26
ALERT_0297,STORE_084,SKU_Beverages_715,Beverages,187,101,True,2024-01-13
ALERT_0298,STORE_076,SKU_Beverages_549,Snacks,474,131,True,2024-12-12
ALERT_0299,STORE_090,SKU_Cereals_982,Beverages,173,136,True,2024-12-01
ALERT_0300,STORE_056,SKU_Snacks_484,Snacks,305,86,True,2024-02-02
ALERT_0301,STORE_085,SKU_Cereals_400,Snacks,113,119,False,2024-02-02
ALERT_0302,STORE_004,SKU_Beverages_270,Beverages,229,131,True,2024-10-11
ALERT_0303,STORE_093,SKU_Snacks_996,Snacks,422,84,True,2024-12-19
ALERT_0304,STORE_005,SKU_Cereals_740,Beverages,417,108,True,2024-05-22
ALERT_0305,STORE_080,SKU_Cereals_284,Cereals,157,123,True,2024-05-05
ALERT_0306,STORE_003,SKU_Snacks_869,Snacks,69,87,False,2024-10-09
ALERT_0307,STORE_056,SKU_Cereals_251,Beverages,129,139,False,2024-04-17
ALERT_0308,STORE_097,SKU_Beverages_229,Snacks,229,97,True,2024-06-30
ALERT_0309,STORE_069,SKU_Beverages_359,Snacks,450,80,True,2024-09-26
ALERT_0310,STORE_061,SKU_Cereals_686,Beverages,483,150,True,2024-12-30
ALERT_0311,STORE_065,SKU_Snacks_456,Cereals,374,88,True,2024-05-11
ALERT_0312,STORE_023,SKU_Snacks_567,Cereals,321,122,True,2024-03-30
ALERT_0313,STORE_012,SKU_Beverages_730,Beverages,399,115,True,2024-10-06
ALERT_0314,STORE_057,SKU_Snacks_731,Snacks,67,123,False,2024-02-03
ALERT_0315,STORE_070,SKU_Beverages_622,Beverages,311,136,True,2024-09-02
ALERT_0316,STORE_073,SKU_Beverages_392,Beverages,156,119,True,2024-05-26
ALERT_0317,STORE_039,SKU_Snacks_280,Snacks,431,89,True,2024-05-14
ALERT_0318,STORE_035,SKU_Cereals_975,Cereals,89,141,False,2024-10-26
ALERT_0319,STORE_075,SKU_Snacks_646,Cereals,264,131,True,2024-02-26
ALERT_0320,STORE_083,SKU_Beverages_830,Beverages,414,126,True,2024-04-30
ALERT_0321,STORE_054,SKU_Cereals_289,Beverages,101,83,True,2024-05-13
ALERT_0322,STORE_086,SKU_Beverages_193,Beverages,342,101,True,2024-05-28
ALERT_0323,STORE_098,SKU_Cereals_509,Cereals,337,81,True,2024-10-17
