promotion_id,sku_id,category,start_date,end_date,discount_percentage,region,store_format,sales_uplift_units,roi_percentage
PROMO_2024_0090,SKU_Cereals_255,Snacks,2024-11-18,2024-11-25,26.2,East,Hypermarket,1516,6.8
PROMO_2024_0091,SKU_Frozen_710,Frozen,2024-08-01,2024-08-08,14.5,West,Express,2313,9.5
PROMO_2024_0092,SKU_Dairy_412,Frozen,2024-10-28,2024-11-04,22.4,North,Hypermarket,1364,9.0
PROMO_2024_0093,SKU_Snacks_345,Snacks,2024-02-11,2024-02-18,21.0,South,Hypermarket,2173,11.8
PROMO_2024_0094,SKU_Dairy_398,Cereals,2024-10-31,2024-11-07,14.6,East,Online,2359,6.1
PROMO_2024_0095,SKU_Beverages_906,Frozen,2024-04-29,2024-05-06,23.2,South,Express,970,13.2
PROMO_2024_0096,SKU_Snacks_372,Snacks,2024-11-27,2024-12-04,11.4,South,Express,2937,16.2
PROMO_2024_0097,SKU_Beverages_549,Cereals,2024-10-18,2024-10-25,19.4,East,Online,2148,19.1
PROMO_2024_0098,SKU_Frozen_605,Dairy,2024-09-13,2024-09-20,11.6,North,Express,1820,14.1
PROMO_2024_0099,SKU_Cereals_334,Frozen,2024-01-14,2024-01-21,21.7,North,Online,1603,13.6
PROMO_2024_0100,SKU_Dairy_631,Dairy,2024-03-30,2024-04-06,28.3,South,Online,2285,14.5
PROMO_2024_0101,SKU_Cereals_581,Beverages,2024-09-08,2024-09-15,18.2,East,Online,928,17.9
PROMO_2024_0102,SKU_Dairy_810,Dairy,2024-06-17,2024-06-24,15.8,West,Online,650,11.8
PROMO_2024_0103,SKU_Beverages_431,Cereals,2024-06-10,2024-06-17,29.4,West,Online,504,14.9
PROMO_2024_0104,SKU_Dairy_523,Cereals,2024-10-04,2024-10-11,13.8,East,Online,2541,14.4
PROMO_2024_0105,SKU_Snacks_373,Frozen,2024-01-27,2024-02-03,12.6,East,Express,2485,6.8
PROMO_2024_0106,SKU_Frozen_918,Snacks,2024-11-18,2024-11-25,24.2,East,Online,556,13.3
PROMO_2024_0107,SKU_Snacks_961,Cereals,2024-02-17,2024-02-24,19.2,North,Online,1130,12.5
PROMO_2024_0108,SKU_Frozen_822,Beverages,2024-05-29,2024-06-05,18.3,West,Express,1498,11.9
PROMO_2024_0109,SKU_Dairy_295,Frozen,2024-03-15,2024-03-22,20.2,South,Hypermarket,1631,16.6
PROMO_2024_0110,SKU_Beverages_906,Frozen,2024-07-31,2024-08-07,15.3,North,Express,1722,17.6
PROMO_2024_0111,SKU_Dairy_986,Snacks,2024-10-23,2024-10-30,18.9,West,Express,1861,13.3
PROMO_2024_0112,SKU_Dairy_566,Beverages,2024-10-05,2024-10-12,27.4,South,Online,2068,8.5
PROMO_2024_0113,SKU_Cereals_425,Dairy,2024-07-29,2024-08-05,24.1,West,Express,1123,12.4
PROMO_2024_0114,SKU_Snacks_614,Frozen,2024-01-19,2024-01-26,16.6,North,Express,908,12.9
PROMO_2024_0115,SKU_Cereals_839,Snacks,2024-08-21,2024-08-28,18.2,South,Hypermarket,2423,16.7
PROMO_2024_0116,SKU_Beverages_738,Dairy,2024-05-15,2024-05-22,23.0,East,Online,2685,10.7
PROMO_2024_0117,SKU_Dairy_993,Frozen,2024-06-11,2024-06-18,10.7,North,Hypermarket,1677,20.0
PROMO_2024_0118,SKU_Dairy_200,Cereals,2024-02-16,2024-02-23,18.9,East,Hypermarket,688,9.9
PROMO_2024_0119,SKU_Beverages_467,Beverages,2024-01-29,2024-02-05,18.6,South,Online,2187,13.5
PROMO_2024_0120,SKU_Snacks_279,Cereals,2024-04-02,2024-04-09,22.2,West,Online,1486,12.5
PROMO_2024_0121,SKU_Snacks_337,Dairy,2024-10-25,2024-11-01,22.8,West,Express,538,18.5
PROMO_2024_0122,SKU_Beverages_793,Frozen,2024-08-26,2024-09-02,13.2,West,Express,2906,9.5
PROMO_2024_0123,SKU_Beverages_567,Beverages,2024-08-05,2024-08-12,14.0,West,Express,936,8.6
PROMO_2024_0124,SKU_Beverages_688,Beverages,2024-10-19,2024-10-26,29.9,East,Hypermarket,2121,9.1
PROMO_2024_0125,SKU_Cereals_720,Dairy,2024-10-16,2024-10-23,26.7,East,Hypermarket,2986,17.0
PROMO_2024_0126,SKU_Snacks_735,Beverages,2024-04-22,2024-04-29,23.6,South,Online,897,18.6
PROMO_2024_0127,SKU_Cereals_416,Dairy,2024-11-26,2024-12-03,10.7,East,Online,1038,6.4
PROMO_2024_0128,SKU_Beverages_865,Dairy,2024-05-31,2024-06-07,13.5,South,Online,1998,13.0
PROMO_2024_0129,SKU_Snacks_363,Dairy,2024-05-19,2024-05-26,29.3,East,Online,1887,17.1
PROMO_2024_0130,SKU_Cereals_244,Snacks,2024-08-27,2024-09-03,27.2,West,Online,1998,6.4
PROMO_2024_0131,SKU_Cereals_370,Frozen,2024-07-21,2024-07-28,12.5,East,Online,1573,13.8
PROMO_2024_0132,SKU_Beverages_210,Snacks,2024-11-22,2024-11-29,19.4,East,Online,1406,14.7
PROMO_2024_0133,SKU_Dairy_817,Beverages,2024-11-21,2024-11-28,23.0,North,Hypermarket,685,19.2
PROMO_2024_0134,SKU_Dairy_218,Cereals,2024-06-04,2024-06-11,14.7,South,Express,2358,10.6
PROMO_2024_0135,SKU_Frozen_529,Frozen,2024-12-22,2024-12-29,24.8,South,Express,905,17.5
PROMO_2024_0136,SKU_Dairy_386,Cereals,2024-11-11,2024-11-18,23.8,South,Express,2321,19.3
PROMO_2024_0137,SKU_Cereals_802,Beverages,2024-07-04,2024-07-11,20.9,East,Hypermarket,2130,9.1
PROMO_2024_0138,SKU_Dairy_193,Snacks,2024-03-03,2024-03-10,22.8,North,Hypermarket,1866,8.7
PROMO_2024_0139,SKU_Frozen_310,Cereals,2024-03-05,2024-03-12,26.6,South,Online,1384,17.2
PROMO_2024_0140,SKU_Beverages_892,Snacks,2024-04-29,2024-05-06,25.8,North,Express,1092,19.8
PROMO_2024_0141,SKU_Beverages_917,Snacks,2024-10-03,2024-10-10,12.2,North,Hypermarket,560,10.4
PROMO_2024_0142,SKU_Frozen_431,Cereals,2024-05-01,2024-05-08,13.5,North,Hypermarket,2224,12.9
PROMO_2024_0143,SKU_Dairy_559,Beverages,2024-02-02,2024-02-09,20.3,North,Express,2563,8.3
PROMO_2024_0144,SKU_Cereals_844,Frozen,2024-11-10,2024-11-17,16.0,North,Hypermarket,2461,17.7
PROMO_2024_0145,SKU_Cereals_602,Dairy,2024-08-06,2024-08-13,11.5,North,Express,2991,7.2
PROMO_2024_0146,SKU_Beverages_739,Frozen,2024-03-05,2024-03-12,21.0,East,Express,2946,13.0
PROMO_2024_0147,SKU_Frozen_719,Dairy,2024-08-20,2024-08-27,12.0,North,Online,2758,15.8
PROMO_2024_0148,SKU_Dairy_562,Snacks,2024-04-20,2024-04-27,18.3,West,Express,2203,15.9
PROMO_2024_0149,SKU_Dairy_420,Beverages,2024-06-09,2024-06-16,17.5,South,Online,2442,6.0
PROMO_2024_0150,SKU_Cereals_542,Cereals,2024-02-13,2024-02-20,24.9,East,Hypermarket,2778,5.9
PROMO_2024_0151,SKU_Frozen_437,Cereals,2024-10-14,2024-10-21,18.2,West,Online,710,19.5
PROMO_2024_0152,SKU_Beverages_460,Cereals,2024-11-03,2024-11-10,21.6,South,Hypermarket,2475,8.4
PROMO_2024_0153,SKU_Beverages_965,Frozen,2024-02-25,2024-03-03,17.4,East,Online,1426,17.1
PROMO_2024_0154,SKU_Frozen_728,Frozen,2024-10-14,2024-10-21,10.5,East,Hypermarket,1238,9.1
PROMO_2024_0155,SKU_Beverages_459,Cereals,2024-06-07,2024-06-14,13.6,South,Online,2141,6.0
PROMO_2024_0156,SKU_Cereals_193,Frozen,2024-11-20,2024-11-27,14.3,West,Express,1896,7.4
PROMO_2024_0157,SKU_Beverages_895,Frozen,2024-06-08,2024-06-15,21.9,North,Hypermarket,1144,16.3
PROMO_2024_0158,SKU_Cereals_378,Dairy,2024-01-26,2024-02-02,23.2,West,Online,2310,11.2
PROMO_2024_0159,SKU_Frozen_216,Beverages,2024-04-20,2024-04-27,18.6,East,Online,2929,12.3
PROMO_2024_0160,SKU_Beverages_146,Snacks,2024-12-07,2024-12-14,17.9,North,Hypermarket,1337,9.5
PROMO_2024_0161,SKU_Snacks_882,Beverages,2024-04-18,2024-04-25,15.8,North,Hypermarket,2537,16.2
PROMO_2024_0162,SKU_Snacks_489,Frozen,2024-03-30,2024-04-06,24.1,East,Hypermarket,2126,17.9
PROMO_2024_0163,SKU_Dairy_119,Dairy,2024-01-22,2024-01-29,28.4,East,Online,2258,13.6
PROMO_2024_0164,SKU_Dairy_396,Cereals,2024-12-29,2025-01-05,18.1,East,Hypermarket,2384,17.5
PROMO_2024_0165,SKU_Cereals_547,Cereals,2024-07-04,2024-07-11,14.9,West,Online,822,10.9
PROMO_2024_0166,SKU_Beverages_326,Beverages,2024-06-07,2024-06-14,25.6,North,Online,967,13.0
PROMO_2024_0167,SKU_Beverages_459,Snacks,2024-04-09,2024-04-16,14.7,South,Express,1308,7.6
PROMO_2024_0168,SKU_Cereals_281,Dairy,2024-03-19,2024-03-26,19.3,West,Online,2812,14.6
PROMO_2024_0169,SKU_Beverages_984,Beverages,2024-11-15,2024-11-22,13.0,North,Express,2311,14.5
PROMO_2024_0170,SKU_Frozen_157,Beverages,2024-05-20,2024-05-27,20.1,East,Express,2351,5.6
PROMO_2024_0171,SKU_Beverages_178,Cereals,2024-07-07,2024-07-14,22.3,West,Express,2877,13.3
PROMO_2024_0172,SKU_Dairy_929,Frozen,2024-01-22,2024-01-29,23.0,East,Online,2448,12.5
PROMO_2024_0173,SKU_Dairy_205,Beverages,2024-02-01,2024-02-08,29.6,North,Online,1206,5.6
PROMO_2024_0174,SKU_Dairy_549,Frozen,2024-12-28,2025-01-04,20.5,South,Express,2027,18.8
PROMO_2024_0175,SKU_Dairy_893,Beverages,2024-07-17,2024-07-24,23.6,North,Online,1870,6.0
PROMO_2024_0176,SKU_Frozen_794,Dairy,2024-02-18,2024-02-25,15.7,South,Express,833,13.7
PROMO_2024_0177,SKU_Beverages_417,Dairy,2024-03-13,2024-03-20,12.6,North,Express,2789,10.7
PROMO_2024_0178,SKU_Snacks_786,Frozen,2024-06-17,2024-06-24,11.9,West,Online,1982,5.3
PROMO_2024_0179,SKU_Snacks_319,Beverages,2024-06-07,2024-06-14,29.0,West,Hypermarket,1427,20.0
PROMO_2024_0180,SKU_Cereals_402,Cereals,2024-03-20,2024-03-27,20.2,North,Online,1879,18.1
PROMO_2024_0181,SKU_Snacks_711,Dairy,2024-11-12,2024-11-19,13.1,South,Online,1178,15.8
PROMO_2024_0182,SKU_Dairy_473,Snacks,2024-01-23,2024-01-30,29.4,East,Online,2338,8.5
PROMO_2024_0183,SKU_Beverages_928,Dairy,2024-05-02,2024-05-09,28.1,South,Express,2836,19.8
PROMO_2024_0184,SKU_Beverages_896,Dairy,2024-08-24,2024-08-31,20.1,West,Hypermarket,1317,17.0
PROMO_2024_0185,SKU_Beverages_153,Dairy,2024-03-11,2024-03-18,27.5,North,Online,2613,17.8
PROMO_2024_0186,SKU_Cereals_881,Snacks,2024-05-25,2024-06-01,15.5,South,Express,875,19.2
PROMO_2024_0187,SKU_Dairy_457,Cereals,2024-04-23,2024-04-30,18.3,West,Online,2031,8.5
PROMO_2024_0188,SKU_Beverages_329,Cereals,2024-02-11,2024-02-18,16.4,North,Online,1873,16.9
PROMO_2024_0189,SKU_Cereals_393,Dairy,2024-03-11,2024-03-18,23.9,South,Online,2421,11.7
PROMO_2024_0190,SKU_Cereals_119,Beverages,2024-01-03,2024-01-10,14.3,South,Online,2993,12.9
PROMO_2024_0191,SKU_Beverages_343,Beverages,2024-02-26,2024-03-04,12.4,South,Express,2372,5.9
PROMO_2024_0192,SKU_Frozen_648,Cereals,2024-09-12,2024-09-19,22.6,South,Online,1088,9.4
PROMO_2024_0193,SKU_Frozen_461,Snacks,2024-01-01,2024-01-08,21.4,South,Online,850,12.9
PROMO_2024_0194,SKU_Cereals_638,Frozen,2024-07-03,2024-07-10,20.1,North,Express,2425,5.7
PROMO_2024_0195,SKU_Beverages_359,Cereals,2024-07-17,2024-07-24,17.1,North,Express,1487,16.0
PROMO_2024_0196,SKU_Cereals_890,Frozen,2024-11-17,2024-11-24,24.7,East,Hypermarket,681,10.3
PROMO_2024_0197,SKU_Snacks_950,Dairy,2024-06-22,2024-06-29,29.6,West,Online,1246,17.2
PROMO_2024_0198,SKU_Dairy_137,Beverages,2024-02-02,2024-02-09,14.0,South,Hypermarket,1792,19.0
PROMO_2024_0199,SKU_Dairy_934,Frozen,2024-09-20,2024-09-27,19.5,North,Online,1282,9.3
PROMO_2024_0200,SKU_Beverages_379,Cereals,2024-01-25,2024-02-01,26.0,West,Express,2301,18.4
PROMO_2024_0201,SKU_Beverages_291,Dairy,2024-07-16,2024-07-23,23.8,East,Online,1592,17.0
PROMO_2024_0202,SKU_Cereals_540,Frozen,2024-08-05,2024-08-12,29.9,South,Online,1703,9.8
PROMO_2024_0203,SKU_Beverages_776,Beverages,2024-02-10,2024-02-17,16.1,West,Hypermarket,2318,10.3
PROMO_2024_0204,SKU_Beverages_729,Dairy,2024-01-22,2024-01-29,15.5,North,Hypermarket,2163,10.4
PROMO_2024_0205,SKU_Snacks_131,Snacks,2024-12-13,2024-12-20,27.0,West,Hypermarket,1017,6.0
PROMO_2024_0206,SKU_Beverages_470,Dairy,2024-11-26,2024-12-03,29.0,North,Online,1128,15.2
PROMO_2024_0207,SKU_Beverages_554,Cereals,2024-07-08,2024-07-15,21.5,East,Express,1787,14.7
PROMO_2024_0208,SKU_Cereals_126,Snacks,2024-05-07,2024-05-14,20.0,West,Online,982,8.9
PROMO_2024_0209,SKU_Dairy_319,Frozen,2024-05-13,2024-05-20,15.7,West,Hypermarket,1002,7.0
PROMO_2024_0210,SKU_Dairy_276,Dairy,2024-02-07,2024-02-14,29.9,East,Online,1923,15.6
PROMO_2024_0211,SKU_Frozen_397,Beverages,2024-10-08,2024-10-15,27.0,South,Express,2583,8.4
PROMO_2024_0212,SKU_Snacks_342,Dairy,2024-04-12,2024-04-19,10.5,East,Express,2759,6.9
PROMO_2024_0213,SKU_Cereals_416,Dairy,2024-02-14,2024-02-21,30.0,West,Online,2182,16.5
PROMO_2024_0214,SKU_Cereals_228,Beverages,2024-10-21,2024-10-28,22.8,West,Express,2619,10.2
PROMO_2024_0215,SKU_Frozen_286,Snacks,2024-10-09,2024-10-16,18.7,North,Hypermarket,2622,7.3
PROMO_2024_0216,SKU_Snacks_430,Snacks,2024-03-25,2024-04-01,16.9,East,Hypermarket,1526,7.9
PROMO_2024_0217,SKU_Beverages_228,Beverages,2024-10-09,2024-10-16,22.3,North,Online,1190,13.9
PROMO_2024_0218,SKU_Snacks_275,Frozen,2024-10-24,2024-10-31,24.4,East,Online,668,17.4
PROMO_2024_0219,SKU_Cereals_146,Frozen,2024-01-15,2024-01-22,15.3,South,Online,2206,14.3
PROMO_2024_0220,SKU_Dairy_742,Frozen,2024-01-16,2024-01-23,15.8,East,Express,1503,17.1
PROMO_2024_0221,SKU_Dairy_404,Dairy,2024-12-16,2024-12-23,11.5,North,Hypermarket,2300,11.2
PROMO_2024_0222,SKU_Snacks_448,Frozen,2024-08-25,2024-09-01,12.9,East,Online,1914,19.6
PROMO_2024_0223,SKU_Beverages_627,Frozen,2024-03-07,2024-03-14,12.1,South,Express,1001,9.0
PROMO_2024_0224,SKU_Snacks_199,Cereals,2024-05-06,2024-05-13,15.8,West,Online,2212,8.7
PROMO_2024_0225,SKU_Beverages_691,Beverages,2024-03-22,2024-03-29,13.8,South,Express,2608,12.0
PROMO_2024_0226,SKU_Dairy_123,Cereals,2024-06-06,2024-06-13,28.9,West,Hypermarket,1381,13.8
PROMO_2024_0227,SKU_Cereals_388,Dairy,2024-01-25,2024-02-01,22.0,West,Express,2698,5.1
PROMO_2024_0228,SKU_Dairy_237,Beverages,2024-02-25,2024-03-03,24.6,West,Express,685,11.0
PROMO_2024_0229,SKU_Frozen_299,Beverages,2024-10-18,2024-10-25,21.1,North,Express,2565,11.8
PROMO_2024_0230,SKU_Beverages_945,Frozen,2024-10-08,2024-10-15,23.6,North,Hypermarket,896,10.9
PROMO_2024_0231,SKU_Frozen_474,Snacks,2024-06-22,2024-06-29,14.0,West,Online,664,5.7
PROMO_2024_0232,SKU_Beverages_923,Dairy,2024-03-11,2024-03-18,20.4,South,Online,2611,7.1
PROMO_2024_0233,SKU_Beverages_266,Dairy,2024-11-09,2024-11-16,29.8,East,Online,1877,12.6
PROMO_2024_0234,SKU_Frozen_601,Frozen,2024-09-17,2024-09-24,16.0,North,Express,1856,15.1
PROMO_2024_0235,SKU_Frozen_415,Cereals,2024-08-01,2024-08-08,21.9,East,Online,2869,13.7
PROMO_2024_0236,SKU_Frozen_591,Snacks,2024-01-27,2024-02-03,20.5,West,Hypermarket,1492,5.5
PROMO_2024_0237,SKU_Cereals_295,Cereals,2024-12-24,2024-12-31,18.8,West,Hypermarket,2191,15.4
PROMO_2024_0238,SKU_Frozen_893,Frozen,2024-07-29,2024-08-05,28.4,North,Online,1065,12.8
PROMO_2024_0239,SKU_Beverages_778,Dairy,2024-10-14,2024-10-21,20.5,East,Hypermarket,2382,18.7
